"Displacement Vector:0","Displacement Vector:1","Displacement Vector:2","Strain:0","Strain:1","Strain:2","Strain:3","Strain:4","Strain:5","Strain:6","Strain:7","Strain:8","Stress:0","Stress:1","Stress:2","Stress:3","Stress:4","Stress:5","Stress:6","Stress:7","Stress:8",":0",":1",":2"
-0.50008,0.0014156,0,-0.0034872,0.0054821,0,0.0054821,-0.0030297,0,0,0,0,-48.309,42.17,0,42.17,-44.79,0,0,0,-21.484,0,0.2,0
-0.49957,-0.0012109,0,0.015168,0.0013452,0,0.0013452,-0.007857,0,0,0,0,140.78,10.348,0,10.348,-36.336,0,0,0,24.103,0,10.2,0
-0.0011429,0.0072985,0,0.0045161,0.0026589,0,0.0026589,-0.0043893,0,0,0,0,35.158,20.453,0,20.453,-33.346,0,0,0,0.4181,20,10.2,0
-0.00032028,-0.0099212,0,-0.00052304,-0.007142,0,-0.007142,-0.0051244,0,0,0,0,-22.641,-54.939,0,-54.939,-58.037,0,0,0,-18.618,20,0.2,0
-0.0044314,-0.014381,0,0.10032,0.011639,0,0.011639,-0.022601,0,0,0,0,513.94,44.767,0,44.767,41.176,0,0,0,128.1,20.2,0,0
0.0045021,-0.014378,0,0.099827,-0.011725,0,-0.011725,-0.022866,0,0,0,0,510.81,-45.097,0,-45.097,38.915,0,0,0,126.86,20.3,0,0
0.00040968,-0.0099221,0,-0.00059698,0.007181,0,0.007181,-0.0051181,0,0,0,0,-23.433,55.238,0,55.238,-58.211,0,0,0,-18.841,20.5,0.2,0
-0.5,0,0,0.022491,-0.00026119,0,-0.00026119,1.3057e-07,0,0,0,0,247.16,-2.0091,0,-2.0091,74.148,0,0,0,74.147,-0.2,0,0
-0.5,0,0,0.022373,-0.00022393,0,-0.00022393,9.5992e-08,0,0,0,0,245.85,-1.7225,0,-1.7225,73.757,0,0,0,73.757,-0.2,10.4,0
-0.0041297,0.010886,0,0.091387,-0.0099866,0,-0.0099866,-0.020984,0,0,0,0,467.54,-38.41,0,-38.41,35.342,0,0,0,116.05,20.2,10.4,0
0.0040923,0.010892,0,0.091108,0.0098007,0,0.0098007,-0.021373,0,0,0,0,465.36,37.695,0,37.695,32.744,0,0,0,114.95,20.3,10.4,0
0.0011583,0.0073425,0,0.003366,-0.0026434,0,-0.0026434,-0.0036929,0,0,0,0,24.815,-20.334,0,-20.334,-29.485,0,0,0,-1.0777,20.5,10.2,0
0.5,0,0,0.022392,0.00014936,0,0.00014936,4.2704e-08,0,0,0,0,246.07,1.1489,0,1.1489,73.82,0,0,0,73.82,40.7,10.4,0
0.5,0,0,0.025242,4.1144e-05,0,4.1144e-05,3.2229e-09,0,0,0,0,277.39,0.31649,0,0.31649,83.216,0,0,0,83.216,40.7,0,0
0.49957,-0.0012035,0,0.015183,-0.0013951,0,-0.0013951,-0.0079204,0,0,0,0,140.74,-10.732,0,-10.732,-36.982,0,0,0,23.944,40.5,10.2,0
0.50002,0.0014566,0,-0.0037128,-0.0065577,0,-0.0065577,-0.002473,0,0,0,0,-48.953,-50.444,0,-50.444,-39.416,0,0,0,-20.393,40.5,0.2,0
-0.5,0,0,0.016479,0.0066003,0,0.0066003,-0.0011977,0,0,0,0,177.14,50.772,0,50.772,41.165,0,0,0,50.378,-0.2,10.3,0
-0.5,0,0,0.0085288,0.00040724,0,0.00040724,3.2612e-07,0,0,0,0,93.724,3.1326,0,3.1326,28.121,0,0,0,28.118,-0.2,10.2,0
-0.5,0,0,-0.00056461,-0.00071919,0,-0.00071919,1.0357e-06,0,0,0,0,-6.2011,-5.5323,0,-5.5323,-1.85,0,0,0,-1.8579,-0.2,10.1,0
-0.5,0,0,-0.00056461,-0.00071919,0,-0.00071919,1.0357e-06,0,0,0,0,-6.2011,-5.5323,0,-5.5323,-1.85,0,0,0,-1.8579,-0.2,10,0
-0.5,0,0,-0.00041505,-0.00058826,0,-0.00058826,6.9267e-07,0,0,0,0,-4.5587,-4.5251,0,-4.5251,-1.3607,0,0,0,-1.366,-0.2,9.9,0
-0.5,0,0,-0.00013072,-0.00027524,0,-0.00027524,1.5155e-07,0,0,0,0,-1.436,-2.1172,0,-2.1172,-0.42929,0,0,0,-0.43045,-0.2,9.8,0
-0.5,0,0,-0.00013072,-0.00027524,0,-0.00027524,1.5155e-07,0,0,0,0,-1.436,-2.1172,0,-2.1172,-0.42929,0,0,0,-0.43045,-0.2,9.7,0
-0.5,0,0,-6.5043e-05,-0.00010761,0,-0.00010761,2.3162e-08,0,0,0,0,-0.71468,-0.82775,0,-0.82775,-0.21417,0,0,0,-0.21435,-0.2,9.6,0
-0.5,0,0,-5.744e-05,-6.8678e-05,0,-6.8678e-05,9.4343e-09,0,0,0,0,-0.63118,-0.52829,0,-0.52829,-0.18926,0,0,0,-0.18933,-0.2,9.5,0
