"Displacement Vector:0","Displacement Vector:1","Displacement Vector:2","Strain:0","Strain:1","Strain:2","Strain:3","Strain:4","Strain:5","Strain:6","Strain:7","Strain:8","Stress:0","Stress:1","Stress:2","Stress:3","Stress:4","Stress:5","Stress:6","Stress:7","Stress:8","Points:0","Points:1","Points:2"
-0.022702,0.037854,0,0.013192,-0.00066178,0,-0.00066178,-0.0040247,0,0,0,0,131.7,-5.0906,0,-5.0906,-0.7387,0,0,0,30.221,3,12,0
1.6506e-05,0.02314,0,-0.00072529,-1.2055e-05,0,-1.2055e-05,0.0023802,0,0,0,0,-0.1235,-0.092727,0,-0.092727,23.765,0,0,0,5.4556,6,9,0
-9.1292e-05,0.023133,0,-0.00070643,-1.1289e-05,0,-1.1289e-05,0.0023421,0,0,0,0,-0.041712,-0.086836,0,-0.086836,23.409,0,0,0,5.3924,6.15,9,0
-0.00010899,0.023133,0,-0.00070634,1.139e-05,0,1.139e-05,0.0023416,0,0,0,0,-0.042382,0.087616,0,0.087616,23.403,0,0,0,5.391,6.175,9,0
-0.00021687,0.023132,0,-0.00072617,1.229e-05,0,1.229e-05,0.0023834,0,0,0,0,-0.12254,0.094539,0,0.094539,23.797,0,0,0,5.4634,6.325,9,0
0.0226,0.037771,0,0.013178,0.00065951,0,0.00065951,-0.0040192,0,0,0,0,131.56,5.0732,0,5.0732,-0.72478,0,0,0,30.192,9.325,12,0
-0.016498,0.036889,0,0.0074214,-0.00082991,0,-0.00082991,-0.0021583,0,0,0,0,74.438,-6.3839,0,-6.3839,0.74802,0,0,0,17.351,3,12.3,0
0.016405,0.036808,0,0.0073296,0.00077539,0,0.00077539,-0.0021167,0,0,0,0,73.566,5.9645,0,5.9645,0.90255,0,0,0,17.185,9.325,12.3,0
1.5477e-05,0.022958,0,-0.00072529,-1.2055e-05,0,-1.2055e-05,0.0023802,0,0,0,0,-0.1235,-0.092727,0,-0.092727,23.765,0,0,0,5.4556,6,8.9236,0
1.3948e-05,0.02277,0,-0.0007273,-9.7193e-07,0,-9.7193e-07,0.0023667,0,0,0,0,-0.19002,-0.0074764,0,-0.0074764,23.61,0,0,0,5.4046,6,8.8444,0
1.1964e-05,0.022576,0,-0.0007273,-9.7193e-07,0,-9.7193e-07,0.0023667,0,0,0,0,-0.19002,-0.0074764,0,-0.0074764,23.61,0,0,0,5.4046,6,8.7621,0
9.6809e-06,0.022374,0,-0.00072808,1.6927e-07,0,1.6927e-07,0.0023663,0,0,0,0,-0.19979,0.0013021,0,0.0013021,23.604,0,0,0,5.4009,6,8.6766,0
7.1847e-06,0.022164,0,-0.00072816,1.6505e-07,0,1.6505e-07,0.0023665,0,0,0,0,-0.20005,0.0012696,0,0.0012696,23.605,0,0,0,5.4012,6,8.5879,0
4.5097e-06,0.021947,0,-0.00072818,1.3916e-07,0,1.3916e-07,0.0023666,0,0,0,0,-0.19992,0.0010705,0,0.0010705,23.606,0,0,0,5.4015,6,8.4958,0
1.661e-06,0.021721,0,-0.00072819,1.28e-07,0,1.28e-07,0.0023667,0,0,0,0,-0.19978,0.00098462,0,0.00098462,23.607,0,0,0,5.4017,6,8.4002,0
-0.023629,0.039554,0,0.012267,-0.00051137,0,-0.00051137,-0.0036641,0,0,0,0,122.72,-3.9336,0,-3.9336,0.17416,0,0,0,28.36,2.9243,12,0
-0.0246,0.041487,0,0.012267,-0.00051137,0,-0.00051137,-0.0036641,0,0,0,0,122.72,-3.9336,0,-3.9336,0.17416,0,0,0,28.36,2.8429,12,0
-0.025623,0.043673,0,0.011814,-0.00050342,0,-0.00050342,-0.0035853,0,0,0,0,118.01,-3.8724,0,-3.8724,-0.4498,0,0,0,27.129,2.7553,12,0
-0.026699,0.046145,0,0.011814,-0.00050342,0,-0.00050342,-0.0035853,0,0,0,0,118.01,-3.8724,0,-3.8724,-0.4498,0,0,0,27.129,2.6611,12,0
-0.027829,0.048945,0,0.010382,-0.00050901,0,-0.00050901,-0.0030929,0,0,0,0,103.89,-3.9155,0,-3.9155,0.23707,0,0,0,24.029,2.5598,12,0
-0.029002,0.052092,0,0.0099252,-0.00047251,0,-0.00047251,-0.0029657,0,0,0,0,99.291,-3.6347,0,-3.6347,0.13072,0,0,0,22.944,2.4507,12,0
-0.030231,0.055642,0,0.010975,-0.00057702,0,-0.00057702,-0.0033532,0,0,0,0,109.55,-4.4386,0,-4.4386,-0.66719,0,0,0,25.126,2.3335,12,0
-0.031507,0.059637,0,0.010524,-0.00057294,0,-0.00057294,-0.0032397,0,0,0,0,104.96,-4.4072,0,-4.4072,-0.90776,0,0,0,24.013,2.2073,12,0
1.7338e-05,0.023318,0,-0.00071717,-5.0716e-05,0,-5.0716e-05,0.0023888,0,0,0,0,-0.0057161,-0.39012,0,-0.39012,23.887,0,0,0,5.511,5.9995,9.0749,0
1.8538e-05,0.023497,0,-0.00071717,-5.0716e-05,0,-5.0716e-05,0.0023888,0,0,0,0,-0.0057161,-0.39012,0,-0.39012,23.887,0,0,0,5.511,5.9981,9.1498,0
