"Displacement Vector:0","Displacement Vector:1","Displacement Vector:2","Strain:0","Strain:1","Strain:2","Strain:3","Strain:4","Strain:5","Strain:6","Strain:7","Strain:8","Stress:0","Stress:1","Stress:2","Stress:3","Stress:4","Stress:5","Stress:6","Stress:7","Stress:8","Points:0","Points:1","Points:2"
-0.022785,0.023206,0,0.013047,-0.00059702,0,-0.00059702,-0.0038644,0,0,0,0,130.63,-4.5924,0,-4.5924,0.54581,0,0,0,30.272,3,12,0
0.00010226,0.0082276,0,-0.00077059,-2.4409e-05,0,-2.4409e-05,0.0025141,0,0,0,0,-0.17972,-0.18776,0,-0.18776,25.087,0,0,0,5.7479,6,9,0
-1.2311e-05,0.0082656,0,-0.00077478,0.00019046,0,0.00019046,0.002477,0,0,0,0,-0.3481,1.465,0,1.465,24.666,0,0,0,5.6117,6.15,9,0
-3.0703e-05,0.0082652,0,-0.00077524,-0.00019022,0,-0.00019022,0.0024784,0,0,0,0,-0.34872,-1.4632,0,-1.4632,24.679,0,0,0,5.6147,6.175,9,0
-0.00014537,0.0082226,0,-0.00077181,2.4626e-05,0,2.4626e-05,0.0025179,0,0,0,0,-0.18051,0.18943,0,0.18943,25.125,0,0,0,5.7565,6.325,9,0
0.02278,0.023176,0,0.013055,0.00059734,0,0.00059734,-0.0038665,0,0,0,0,130.71,4.5949,0,4.5949,0.54762,0,0,0,30.29,9.325,12,0
-0.016474,0.022242,0,0.0074506,-0.00080161,0,-0.00080161,-0.0020848,0,0,0,0,75.002,-6.1662,0,-6.1662,1.6527,0,0,0,17.69,3,12.3,0
0.016469,0.022211,0,0.0074335,0.00078575,0,0.00078575,-0.0020886,0,0,0,0,74.801,6.0442,0,6.0442,1.5548,0,0,0,17.621,9.325,12.3,0
0.00010757,0.008103,0,-0.00075389,-1.3671e-05,0,-1.3671e-05,0.0024872,0,0,0,0,-0.084952,-0.10516,0,-0.10516,24.847,0,0,0,5.7142,6,8.9499,0
0.00011027,0.0079758,0,-0.00076835,1.4722e-05,0,1.4722e-05,0.002505,0,0,0,0,-0.18505,0.11324,0,0.11324,24.995,0,0,0,5.7254,6,8.8985,0
0.00010995,0.007844,0,-0.00076835,1.4722e-05,0,1.4722e-05,0.002505,0,0,0,0,-0.18505,0.11324,0,0.11324,24.995,0,0,0,5.7254,6,8.8458,0
0.00010818,0.0077075,0,-0.000785,1.0003e-05,0,1.0003e-05,0.0025549,0,0,0,0,-0.20356,0.076948,0,0.076948,25.488,0,0,0,5.8349,6,8.7918,0
0.00010604,0.0075664,0,-0.0007865,5.7639e-06,0,5.7639e-06,0.0025607,0,0,0,0,-0.20113,0.044338,0,0.044338,25.546,0,0,0,5.8489,6,8.7365,0
0.00010407,0.0074213,0,-0.0007889,3.8391e-06,0,3.8391e-06,0.0025618,0,0,0,0,-0.22375,0.029532,0,0.029532,25.551,0,0,0,5.8447,6,8.6797,0
0.00010233,0.0072723,0,-0.0007886,1.3012e-07,0,1.3012e-07,0.0025662,0,0,0,0,-0.2059,0.0010009,0,0.0010009,25.6,0,0,0,5.8603,6,8.6216,0
0.0001008,0.0071195,0,-0.0007886,1.3012e-07,0,1.3012e-07,0.0025662,0,0,0,0,-0.2059,0.0010009,0,0.0010009,25.6,0,0,0,5.8603,6,8.562,0
9.9395e-05,0.0069629,0,-0.0007876,-3.4496e-07,0,-3.4496e-07,0.0025647,0,0,0,0,-0.19984,-0.0026536,0,-0.0026536,25.587,0,0,0,5.8587,6,8.5009,0
9.8045e-05,0.0068025,0,-0.0007876,-3.4496e-07,0,-3.4496e-07,0.0025647,0,0,0,0,-0.19984,-0.0026536,0,-0.0026536,25.587,0,0,0,5.8587,6,8.4382,0
9.6676e-05,0.0066381,0,-0.00078719,-9.0224e-08,0,-9.0224e-08,0.0025636,0,0,0,0,-0.19911,-0.00069403,0,-0.00069403,25.576,0,0,0,5.8562,6,8.374,0
9.526e-05,0.0064695,0,-0.00078719,-9.0224e-08,0,-9.0224e-08,0.0025636,0,0,0,0,-0.19911,-0.00069403,0,-0.00069403,25.576,0,0,0,5.8562,6,8.3082,0
-0.023417,0.024359,0,0.012602,-0.00049405,0,-0.00049405,-0.0037733,0,0,0,0,126.04,-3.8004,0,-3.8004,0.079796,0,0,0,29.105,2.9492,12,0
-0.024071,0.025615,0,0.012602,-0.00049405,0,-0.00049405,-0.0037733,0,0,0,0,126.04,-3.8004,0,-3.8004,0.079796,0,0,0,29.105,2.8959,12,0
-0.024745,0.026983,0,0.01221,-0.00048391,0,-0.00048391,-0.0036771,0,0,0,0,122.06,-3.7224,0,-3.7224,-0.15354,0,0,0,28.132,2.8399,12,0
-0.025442,0.028472,0,0.01221,-0.00048391,0,-0.00048391,-0.0036771,0,0,0,0,122.06,-3.7224,0,-3.7224,-0.15354,0,0,0,28.132,2.781,12,0
-0.026161,0.030093,0,0.011835,-0.00049672,0,-0.00049672,-0.0035657,0,0,0,0,118.3,-3.8209,0,-3.8209,-0.16655,0,0,0,27.262,2.7191,12,0
