"Displacement Vector:0","Displacement Vector:1","Displacement Vector:2","Strain:0","Strain:1","Strain:2","Strain:3","Strain:4","Strain:5","Strain:6","Strain:7","Strain:8","Stress:0","Stress:1","Stress:2","Stress:3","Stress:4","Stress:5","Stress:6","Stress:7","Stress:8","Points:0","Points:1","Points:2"
-0.03322,0.06021,0,0.011522,-0.00058001,0,-0.00058001,-0.0034631,0,0,0,0,115.2,-4.4616,0,-4.4616,-0.07008,0,0,0,26.569,3,12,0
9.0155e-05,0.034159,0,-0.00075261,-2.0044e-05,0,-2.0044e-05,0.0024938,0,0,0,0,-0.049191,-0.15418,0,-0.15418,24.923,0,0,0,5.7401,6,9,0
-2.2694e-05,0.034112,0,-0.00081048,-0.00019135,0,-0.00019135,0.0028701,0,0,0,0,0.55563,-1.4719,0,-1.4719,28.868,0,0,0,6.7901,6.15,9,0
-3.9823e-05,0.034112,0,-0.00080178,0.00018351,0,0.00018351,0.0028455,0,0,0,0,0.57009,1.4116,0,1.4116,28.626,0,0,0,6.7376,6.175,9,0
-0.00015262,0.034152,0,-0.00076557,8.2061e-06,0,8.2061e-06,0.0024941,0,0,0,0,-0.19038,0.063124,0,0.063124,24.884,0,0,0,5.6986,6.325,9,0
0.033213,0.060185,0,0.011524,0.00058013,0,0.00058013,-0.0034635,0,0,0,0,115.22,4.4625,0,4.4625,-0.070373,0,0,0,26.572,9.325,12,0
-0.024227,0.059256,0,0.0069917,-0.00081875,0,-0.00081875,-0.0019432,0,0,0,0,70.426,-6.2981,0,-6.2981,1.6954,0,0,0,16.643,3,12.3,0
0.024221,0.059231,0,0.0069931,0.00081612,0,0.00081612,-0.0019455,0,0,0,0,70.434,6.2779,0,6.2779,1.6747,0,0,0,16.64,9.325,12.3,0
8.6234e-05,0.03406,0,-0.00076405,-8.0658e-06,0,-8.0658e-06,0.0024884,0,0,0,0,-0.19268,-0.062044,0,-0.062044,24.826,0,0,0,5.6847,6,8.96,0
8.3344e-05,0.033959,0,-0.00076603,-1.1979e-05,0,-1.1979e-05,0.0024758,0,0,0,0,-0.25594,-0.092143,0,-0.092143,24.681,0,0,0,5.6366,6,8.9192,0
8.195e-05,0.033857,0,-0.00075281,-1.6291e-05,0,-1.6291e-05,0.0024481,0,0,0,0,-0.20198,-0.12531,0,-0.12531,24.42,0,0,0,5.5889,6,8.8776,0
8.131e-05,0.033754,0,-0.00073704,-1.1681e-05,0,-1.1681e-05,0.0023967,0,0,0,0,-0.19828,-0.089853,0,-0.089853,23.907,0,0,0,5.4713,6,8.8351,0
8.086e-05,0.033651,0,-0.00073498,-9.4867e-06,0,-9.4867e-06,0.0023981,0,0,0,0,-0.17073,-0.072975,0,-0.072975,23.93,0,0,0,5.483,6,8.7918,0
8.0288e-05,0.033545,0,-0.00073247,-3.6523e-06,0,-3.6523e-06,0.002381,0,0,0,0,-0.19978,-0.028095,0,-0.028095,23.75,0,0,0,5.4346,6,8.7477,0
7.9506e-05,0.033438,0,-0.00073051,-2.7113e-06,0,-2.7113e-06,0.0023785,0,0,0,0,-0.18645,-0.020856,0,-0.020856,23.729,0,0,0,5.4328,6,8.7026,0
7.8515e-05,0.033329,0,-0.00073111,-5.2426e-07,0,-5.2426e-07,0.0023762,0,0,0,0,-0.20038,-0.0040328,0,-0.0040328,23.702,0,0,0,5.4235,6,8.6567,0
