"Displacement Vector:0","Displacement Vector:1","Displacement Vector:2","Strain:0","Strain:1","Strain:2","Strain:3","Strain:4","Strain:5","Strain:6","Strain:7","Strain:8","Stress:0","Stress:1","Stress:2","Stress:3","Stress:4","Stress:5","Stress:6","Stress:7","Stress:8","Points:0","Points:1","Points:2"
-0.018796,0.076007,0,0.014695,-0.0015012,0,-0.0015012,-0.0042824,0,0,0,0,147.37,-11.547,0,-11.547,1.3872,0,0,0,34.328,3,12,0
0.014248,0.030242,0,-0.00093651,-6.9363e-05,0,-6.9363e-05,0.0030855,0,0,0,0,-0.11916,-0.53356,0,-0.53356,30.82,0,0,0,7.0847,6,9,0
0.014119,0.031366,0,-0.00078225,-8.1911e-05,0,-8.1911e-05,0.0025881,0,0,0,0,-0.064115,-0.63009,0,-0.63009,25.861,0,0,0,5.9532,6.15,9,0
0.014101,0.031553,0,-0.00064164,-6.1654e-05,0,-6.1654e-05,0.0021378,0,0,0,0,-0.0034343,-0.47426,0,-0.47426,21.377,0,0,0,4.9323,6.175,9,0
0.014004,0.03268,0,-0.00052429,-1.3289e-05,0,-1.3289e-05,0.00172,0,0,0,0,-0.091153,-0.10223,0,-0.10223,17.173,0,0,0,3.9419,6.325,9,0
0.022714,0.091572,0,0.014337,0.0015099,0,0.0015099,-0.004173,0,0,0,0,143.79,11.614,0,11.614,1.4062,0,0,0,33.507,9.325,12,0
-0.00050473,0.0747,0,0.002097,-0.00048792,0,-0.00048792,-0.00049698,0,0,0,0,21.406,-3.7532,0,-3.7532,1.4519,0,0,0,5.2749,3,12.3,0
0.0036685,0.090226,0,0.0022452,0.00049187,0,0.00049187,-0.00054606,0,0,0,0,22.872,3.7836,0,3.7836,1.401,0,0,0,5.6015,9.325,12.3,0
0.014634,0.030091,0,-0.0009297,-5.4587e-05,0,-5.4587e-05,0.0030471,0,0,0,0,-0.17104,-0.4199,0,-0.4199,30.42,0,0,0,6.9805,6,8.9499,0
0.015041,0.029938,0,-0.00091395,-4.5463e-05,0,-4.5463e-05,0.0029771,0,0,0,0,-0.22872,-0.34971,0,-0.34971,29.703,0,0,0,6.8017,6,8.8985,0
0.015467,0.029783,0,-0.00091395,-4.5463e-05,0,-4.5463e-05,0.0029771,0,0,0,0,-0.22872,-0.34971,0,-0.34971,29.703,0,0,0,6.8017,6,8.8458,0
0.015915,0.029626,0,-0.00084913,-4.1507e-05,0,-4.1507e-05,0.0027824,0,0,0,0,-0.15828,-0.31928,0,-0.31928,27.777,0,0,0,6.3735,6,8.7918,0
