"Displacement Vector:0","Displacement Vector:1","Displacement Vector:2","Strain:0","Strain:1","Strain:2","Strain:3","Strain:4","Strain:5","Strain:6","Strain:7","Strain:8","Stress:0","Stress:1","Stress:2","Stress:3","Stress:4","Stress:5","Stress:6","Stress:7","Stress:8","Points:0","Points:1","Points:2"
-0.035198,0.077235,0,0.014334,-0.0015692,0,-0.0015692,-0.0041648,0,0,0,0,143.79,-12.071,0,-12.071,1.489,0,0,0,33.526,3,12,0
0.00010713,0.031483,0,-0.0007544,-2.5614e-05,0,-2.5614e-05,0.0025067,0,0,0,0,-0.026159,-0.19703,0,-0.19703,25.06,0,0,0,5.777,6,9,0
-5.8768e-06,0.031439,0,-0.00075226,-0.00021792,0,-0.00021792,0.002477,0,0,0,0,-0.10052,-1.6763,0,-1.6763,24.74,0,0,0,5.6861,6.15,9,0
-2.2977e-05,0.031439,0,-0.00075247,0.00021812,0,0.00021812,0.0024775,0,0,0,0,-0.1013,1.6778,0,1.6778,24.745,0,0,0,5.687,6.175,9,0
-0.00013602,0.031481,0,-0.00075488,2.5699e-05,0,2.5699e-05,0.0025085,0,0,0,0,-0.025722,0.19768,0,0.19768,25.077,0,0,0,5.781,6.325,9,0
0.035192,0.077203,0,0.014338,0.0015694,0,0.0015694,-0.0041657,0,0,0,0,143.82,12.073,0,12.073,1.4899,0,0,0,33.534,9.325,12,0
-0.015296,0.075865,0,0.0015339,-0.00045384,0,-0.00045384,-0.00032307,0,0,0,0,15.791,-3.4911,0,-3.4911,1.5064,0,0,0,3.9916,3,12.3,0
0.015294,0.075833,0,0.0015226,0.00044954,0,0.00044954,-0.00032346,0,0,0,0,15.666,3.458,0,3.458,1.4651,0,0,0,3.9533,9.325,12.3,0
0.00010338,0.031358,0,-0.00076703,-1.1714e-05,0,-1.1714e-05,0.0024965,0,0,0,0,-0.1987,-0.090108,0,-0.090108,24.905,0,0,0,5.7015,6,8.9499,0
0.00010126,0.031231,0,-0.00074733,-1.817e-05,0,-1.817e-05,0.0024379,0,0,0,0,-0.17534,-0.13977,0,-0.13977,24.327,0,0,0,5.5733,6,8.8985,0
0.00010109,0.031103,0,-0.00074733,-1.817e-05,0,-1.817e-05,0.0024379,0,0,0,0,-0.17534,-0.13977,0,-0.13977,24.327,0,0,0,5.5733,6,8.8458,0
0.00010151,0.030973,0,-0.00073605,-8.5625e-06,0,-8.5625e-06,0.0023934,0,0,0,0,-0.19816,-0.065866,0,-0.065866,23.875,0,0,0,5.4638,6,8.7918,0
0.00010182,0.030841,0,-0.00073442,-4.2298e-06,0,-4.2298e-06,0.0023876,0,0,0,0,-0.19949,-0.032537,0,-0.032537,23.816,0,0,0,5.4499,6,8.7365,0
0.00010179,0.030705,0,-0.000732,-2.5795e-06,0,-2.5795e-06,0.0023853,0,0,0,0,-0.18024,-0.019842,0,-0.019842,23.799,0,0,0,5.4506,6,8.6797,0
0.00010152,0.030567,0,-0.00073274,-4.7096e-08,0,-4.7096e-08,0.0023827,0,0,0,0,-0.19702,-0.00036228,0,-0.00036228,23.768,0,0,0,5.4394,6,8.6216,0
0.00010108,0.030425,0,-0.00073274,-4.7096e-08,0,-4.7096e-08,0.0023827,0,0,0,0,-0.19702,-0.00036228,0,-0.00036228,23.768,0,0,0,5.4394,6,8.562,0
0.00010054,0.03028,0,-0.00073318,1.5501e-07,0,1.5501e-07,0.0023832,0,0,0,0,-0.20015,0.0011924,0,0.0011924,23.772,0,0,0,5.4397,6,8.5009,0
9.9932e-05,0.030131,0,-0.00073318,1.5501e-07,0,1.5501e-07,0.0023832,0,0,0,0,-0.20015,0.0011924,0,0.0011924,23.772,0,0,0,5.4397,6,8.4382,0
