"Displacement Vector:0","Displacement Vector:1","Displacement Vector:2","Strain:0","Strain:1","Strain:2","Strain:3","Strain:4","Strain:5","Strain:6","Strain:7","Strain:8","Stress:0","Stress:1","Stress:2","Stress:3","Stress:4","Stress:5","Stress:6","Stress:7","Stress:8","Points:0","Points:1","Points:2"
0.10033,-0.00054231,0,0.0063868,-0.00254,0,-0.00254,-0.021978,0,0,0,0,-0.008435,-0.064579,0,-0.095774,-1.0799,0,0,0,-0.257,2.6825,-0.00054231,0
0.094369,0.0051985,0,-0.0089678,0.0081321,0,0.0081321,0.0034595,0,0,0,0,-0.41558,0.31193,0,0.32833,0.031667,0,0,0,-0.090796,2.6499,-0.2097,0
0.072806,0.011143,0,0.0037329,0.034599,0,0.034599,0.012553,0,0,0,0,0.58114,1.4285,0,1.3132,0.6785,0,0,0,0.26845,2.5505,-0.43296,0
0.039047,0.012435,0,0.029705,0.081643,0,0.081643,0.048368,0,0,0,0,2.9343,3.6667,0,3.3088,3.3305,0,0,0,1.2869,2.3999,-0.67597,0
0,0,0,-0.00073687,0.0076812,0,0.0076812,-0.008529,0,0,0,0,-0.18078,0.29495,0,0.29018,-0.47222,0,0,0,-0.15273,2.2228,-0.9417,0
0,0,0,-0.00073687,0.0076812,0,0.0076812,-0.008529,0,0,0,0,-0.18078,0.29495,0,0.29018,-0.47222,0,0,0,-0.15273,2.0761,-1.1987,0
0,0,0,-0.013398,0.00027682,0,0.00027682,0.0042431,0,0,0,0,-0.65714,0.0106,0,0.015489,0.01226,0,0,0,-0.15091,1.927,-1.4541,0
0.0087641,-0.040162,0,-0.02704,0.049112,0,0.049112,0.10532,0,0,0,0,0.21284,1.744,0,2.1039,6.0706,0,0,0,1.2903,1.7854,-1.7407,0
0.026678,-0.068739,0,-0.019532,0.0039864,0,0.0039864,0.022895,0,0,0,0,-0.69085,0.08417,0,0.10421,0.96643,0,0,0,0.055424,1.6502,-1.9924,0
0.043053,-0.084404,0,-0.019532,0.0039864,0,0.0039864,0.022895,0,0,0,0,-0.69085,0.08417,0,0.10421,0.96643,0,0,0,0.055424,1.5069,-2.19,0
0.050358,-0.0873,0,0.009023,0.0011195,0,0.0011195,-0.013547,0,0,0,0,0.2753,0.0381,0,0.040586,-0.58774,0,0,0,-0.074567,1.3415,-2.3235,0
0.05188,-0.078524,0,0.022333,-0.0026005,0,-0.0026005,-0.021443,0,0,0,0,0.88626,-0.14385,0,-0.14944,-0.78549,0,0,0,0.014665,1.1435,-2.399,0
0.046249,-0.057323,0,0.059567,-0.017569,0,-0.017569,-0.023745,0,0,0,0,2.9869,-0.73274,0,-0.97085,-0.2409,0,0,0,0.59047,0.90055,-2.4251,0
0.030719,-0.027451,0,0.11596,-0.032394,0,-0.032394,-0.038293,0,0,0,0,6.3191,-1.3823,0,-1.7376,-0.067662,0,0,0,1.2802,0.61502,-2.4163,0
0,0,0,7.1869e-05,-0.0070599,0,-0.0070599,-0.010413,0,0,0,0,-0.16386,-0.26346,0,-0.26867,-0.56494,0,0,0,-0.17046,0.2958,-2.3958,0
0,0,0,7.1869e-05,-0.0070599,0,-0.0070599,-0.010413,0,0,0,0,-0.16386,-0.26346,0,-0.26867,-0.56494,0,0,0,-0.17046,0,-2.3973,0
0,0,0,8.0232e-05,0.0078892,0,0.0078892,-0.0085371,0,0,0,0,-0.13152,0.29605,0,0.3008,-0.46369,0,0,0,-0.1394,-0.2958,-2.3958,0
-0.029933,-0.027716,0,0.11284,0.028866,0,0.028866,-0.036006,0,0,0,0,6.15,1.2282,0,1.6026,-0.0082737,0,0,0,1.2665,-0.61423,-2.4165,0
-0.045731,-0.057207,0,0.017678,0.014704,0,0.014704,-0.011599,0,0,0,0,0.75948,0.59256,0,0.62582,-0.2922,0,0,0,0.1002,-0.90003,-2.425,0
-0.051635,-0.078444,0,0.026886,0.0092293,0,0.0092293,-0.020226,0,0,0,0,1.1536,0.39691,0,0.4287,-0.62838,0,0,0,0.10978,-1.1432,-2.3989,0
