"Displacement Vector:0","Displacement Vector:1","Displacement Vector:2","Strain:0","Strain:1","Strain:2","Strain:3","Strain:4","Strain:5","Strain:6","Strain:7","Strain:8","Stress:0","Stress:1","Stress:2","Stress:3","Stress:4","Stress:5","Stress:6","Stress:7","Stress:8",":0",":1",":2"
-0.50002,0.0011358,0,0.00067951,0.0017354,0,0.0017354,-0.0038206,0,0,0,0,-5.1283,13.349,0,13.349,-39.745,0,0,0,-10.355,0,0.2,0
-0.49949,-0.00096701,0,0.0019155,-0.0006196,0,-0.0006196,-0.0030891,0,0,0,0,10.865,-4.7662,0,-4.7662,-27.632,0,0,0,-3.8692,0,10.2,0
-0.0010175,0.0070684,0,0.0023082,0.0055958,0,0.0055958,-0.00065961,0,0,0,0,23.191,43.045,0,43.045,0.3611,0,0,0,5.435,20,10.2,0
-0.00030385,-0.010753,0,-0.0039869,-0.00075679,0,-0.00075679,0.0040772,0,0,0,0,-30.37,-5.8215,0,-5.8215,31.661,0,0,0,0.29786,20,0.2,0
-0.0043939,-0.014762,0,0.092625,0.0078468,0,0.0078468,-0.021699,0,0,0,0,473.16,30.18,0,30.18,33.452,0,0,0,116.91,20.2,0,0
0.0043651,-0.014746,0,0.071062,-0.01079,0,-0.01079,-0.0095184,0,0,0,0,374.76,-41.499,0,-41.499,64.836,0,0,0,101.45,20.3,0,0
0.0003422,-0.010711,0,0.00012975,0.0075871,0,0.0075871,-0.00031725,0,0,0,0,0.37992,58.362,0,58.362,-3.0585,0,0,0,-0.61813,20.5,0.2,0
-0.5,0,0,0.037694,-0.011359,0,-0.011359,-0.01186,0,0,0,0,375.13,-87.378,0,-87.378,-6.0615,0,0,0,85.169,-0.2,0,0
-0.5,0,0,0.036263,0.0088072,0,0.0088072,-0.011679,0,0,0,0,360,67.748,0,67.748,-8.7864,0,0,0,81.049,-0.2,10.4,0
-0.0040581,0.01031,0,0.0693,-0.0083417,0,-0.0083417,-0.010357,0,0,0,0,363.7,-32.083,0,-32.083,57.325,0,0,0,97.159,20.2,10.4,0
0.0040515,0.010314,0,0.083747,0.0055516,0,0.0055516,-0.02022,0,0,0,0,426.82,21.352,0,21.352,26.946,0,0,0,104.71,20.3,10.4,0
0.0010056,0.0071171,0,-0.0009943,-0.00083239,0,-0.00083239,0.0026538,0,0,0,0,-2.1776,-6.403,0,-6.403,25.885,0,0,0,5.4709,20.5,10.2,0
0.5,0,0,0.036267,-0.0088056,0,-0.0088056,-0.011683,0,0,0,0,360.03,-67.735,0,-67.735,-8.8233,0,0,0,81.047,40.7,10.4,0
0.5,0,0,0.037687,0.011367,0,0.011367,-0.011861,0,0,0,0,375.04,87.441,0,87.441,-6.1009,0,0,0,85.14,40.7,0,0
0.4995,-0.0009717,0,0.0019688,0.00059722,0,0.00059722,-0.0031562,0,0,0,0,11.231,4.594,0,4.594,-28.192,0,0,0,-3.9143,40.5,10.2,0
