"Displacement Vector:0","Displacement Vector:1","Displacement Vector:2","Strain:0","Strain:1","Strain:2","Strain:3","Strain:4","Strain:5","Strain:6","Strain:7","Strain:8","Stress:0","Stress:1","Stress:2","Stress:3","Stress:4","Stress:5","Stress:6","Stress:7","Stress:8","Points:0","Points:1","Points:2"
-0.022769,0.040167,0,0.012871,-0.0004974,0,-0.0004974,-0.0038775,0,0,0,0,128.65,-3.8261,0,-3.8261,-0.17914,0,0,0,29.648,3,12,0
8.4515e-05,0.025547,0,-0.00073035,-1.8521e-05,0,-1.8521e-05,0.0023973,0,0,0,0,-0.12273,-0.14247,0,-0.14247,23.936,0,0,0,5.4953,6,9,0
-2.3444e-05,0.025542,0,-0.00070809,-5.7413e-06,0,-5.7413e-06,0.0023528,0,0,0,0,-0.024711,-0.044164,0,-0.044164,23.521,0,0,0,5.4222,6.15,9,0
-4.1208e-05,0.025542,0,-0.00070805,6.2433e-06,0,6.2433e-06,0.0023533,0,0,0,0,-0.022753,0.048025,0,0.048025,23.526,0,0,0,5.4238,6.175,9,0
-0.00014929,0.02554,0,-0.00073137,9.2814e-06,0,9.2814e-06,0.0023906,0,0,0,0,-0.15608,0.071396,0,0.071396,23.859,0,0,0,5.4699,6.325,9,0
0.022763,0.040138,0,0.012872,0.00049757,0,0.00049757,-0.003878,0,0,0,0,128.67,3.8275,0,3.8275,-0.17948,0,0,0,29.652,9.325,12,0
-0.016516,0.039204,0,0.0073704,-0.00083252,0,-0.00083252,-0.0020764,0,0,0,0,74.148,-6.404,0,-6.404,1.4806,0,0,0,17.453,3,12.3,0
0.016511,0.039175,0,0.0073718,0.00082939,0,0.00082939,-0.002079,0,0,0,0,74.155,6.3799,0,6.3799,1.4561,0,0,0,17.449,9.325,12.3,0
8.424e-05,0.025452,0,-0.00072935,-9.3093e-06,0,-9.3093e-06,0.0023848,0,0,0,0,-0.15299,-0.07161,0,-0.07161,23.802,0,0,0,5.4574,6,8.96,0
8.376e-05,0.025355,0,-0.00072876,-4.0934e-06,0,-4.0934e-06,0.0023754,0,0,0,0,-0.17728,-0.031488,0,-0.031488,23.701,0,0,0,5.4286,6,8.9192,0
8.3067e-05,0.025257,0,-0.00072866,-1.5507e-06,0,-1.5507e-06,0.0023714,0,0,0,0,-0.18961,-0.011929,0,-0.011929,23.657,0,0,0,5.4155,6,8.8776,0
8.2201e-05,0.025156,0,-0.00072962,-5.5588e-08,0,-5.5588e-08,0.0023713,0,0,0,0,-0.2003,-0.0004276,0,-0.0004276,23.653,0,0,0,5.4122,6,8.8351,0
8.1201e-05,0.025054,0,-0.00072894,4.9931e-08,0,4.9931e-08,0.0023697,0,0,0,0,-0.19816,0.00038409,0,0.00038409,23.637,0,0,0,5.4091,6,8.7918,0
8.0098e-05,0.024949,0,-0.00072957,2.5026e-07,0,2.5026e-07,0.0023711,0,0,0,0,-0.20037,0.0019251,0,0.0019251,23.651,0,0,0,5.4117,6,8.7477,0
7.8916e-05,0.024842,0,-0.00072927,2.4378e-07,0,2.4378e-07,0.0023702,0,0,0,0,-0.20002,0.0018752,0,0.0018752,23.642,0,0,0,5.4097,6,8.7026,0
7.7665e-05,0.024734,0,-0.00072963,1.9857e-07,0,1.9857e-07,0.0023713,0,0,0,0,-0.2003,0.0015275,0,0.0015275,23.653,0,0,0,5.4122,6,8.6567,0
7.6355e-05,0.024623,0,-0.00072944,1.8551e-07,0,1.8551e-07,0.0023707,0,0,0,0,-0.20022,0.001427,0,0.001427,23.647,0,0,0,5.4109,6,8.6098,0
7.4987e-05,0.024509,0,-0.00072968,1.4519e-07,0,1.4519e-07,0.0023715,0,0,0,0,-0.20025,0.0011168,0,0.0011168,23.655,0,0,0,5.4127,6,8.562,0
7.3561e-05,0.024394,0,-0.00072952,1.3876e-07,0,1.3876e-07,0.002371,0,0,0,0,-0.20012,0.0010674,0,0.0010674,23.65,0,0,0,5.4115,6,8.5132,0
7.2076e-05,0.024276,0,-0.00072972,1.2271e-07,0,1.2271e-07,0.0023717,0,0,0,0,-0.20025,0.00094395,0,0.00094395,23.656,0,0,0,5.413,6,8.4635,0
7.0532e-05,0.024156,0,-0.00072955,1.2225e-07,0,1.2225e-07,0.0023712,0,0,0,0,-0.20005,0.00094035,0,0.00094035,23.652,0,0,0,5.4119,6,8.4127,0
6.8926e-05,0.024033,0,-0.00072975,1.1825e-07,0,1.1825e-07,0.0023718,0,0,0,0,-0.20025,0.00090963,0,0.00090963,23.657,0,0,0,5.4132,6,8.361,0
6.7256e-05,0.023908,0,-0.00072958,1.2124e-07,0,1.2124e-07,0.0023713,0,0,0,0,-0.20001,0.00093262,0,0.00093262,23.653,0,0,0,5.4122,6,8.3082,0
-0.023276,0.041075,0,0.012871,-0.0004974,0,-0.0004974,-0.0038775,0,0,0,0,128.65,-3.8261,0,-3.8261,-0.17914,0,0,0,29.648,2.9596,12,0
-0.023794,0.042048,0,0.012645,-0.00048418,0,-0.00048418,-0.0038235,0,0,0,0,126.35,-3.7244,0,-3.7244,-0.32956,0,0,0,29.082,2.9176,12,0
-0.024325,0.04309,0,0.011841,-0.00038784,0,-0.00038784,-0.0035509,0,0,0,0,118.41,-2.9834,0,-2.9834,0.01538,0,0,0,27.33,2.8738,12,0
