"Displacement Vector:0","Displacement Vector:1","Displacement Vector:2","Strain:0","Strain:1","Strain:2","Strain:3","Strain:4","Strain:5","Strain:6","Strain:7","Strain:8","Stress:0","Stress:1","Stress:2","Stress:3","Stress:4","Stress:5","Stress:6","Stress:7","Stress:8","Points:0","Points:1","Points:2"
-0.022382,0.04132,0,0.013084,-0.00053552,0,-0.00053552,-0.0039012,0,0,0,0,130.92,-4.1194,0,-4.1194,0.26326,0,0,0,30.272,3,12,0
0.0044808,0.028156,0,-0.00087251,-3.4753e-05,0,-3.4753e-05,0.0028667,0,0,0,0,-0.13751,-0.26733,0,-0.26733,28.625,0,0,0,6.5741,6,9,0
0.0043559,0.028701,0,-0.00089122,0.0001323,0,0.0001323,0.0029736,0,0,0,0,0.0095228,1.0177,0,1.0177,29.739,0,0,0,6.8651,6.15,9,0
0.0043375,0.028781,0,-0.00091151,-0.00022299,0,-0.00022299,0.0030138,0,0,0,0,-0.080879,-1.7153,0,-1.7153,30.114,0,0,0,6.9308,6.175,9,0
0.0042324,0.029236,0,-0.000632,-1.3868e-06,0,-1.3868e-06,0.0020759,0,0,0,0,-0.10135,-0.010668,0,-0.010668,20.729,0,0,0,4.7602,6.325,9,0
0.023146,0.045195,0,0.012947,0.00054131,0,0.00054131,-0.0038599,0,0,0,0,129.55,4.1639,0,4.1639,0.26562,0,0,0,29.958,9.325,12,0
-0.016241,0.040355,0,0.0080067,-0.00085897,0,-0.00085897,-0.0023132,0,0,0,0,80.36,-6.6075,0,-6.6075,0.97544,0,0,0,18.77,3,12.3,0
0.016793,0.044232,0,0.0079779,0.00085524,0,0.00085524,-0.0023049,0,0,0,0,80.071,6.5788,0,6.5788,0.97241,0,0,0,18.702,9.325,12.3,0
0.0046154,0.028048,0,-0.00087251,-3.4753e-05,0,-3.4753e-05,0.0028667,0,0,0,0,-0.13751,-0.26733,0,-0.26733,28.625,0,0,0,6.5741,6,8.9622,0
0.0047549,0.027939,0,-0.00086608,-1.0931e-05,0,-1.0931e-05,0.0028368,0,0,0,0,-0.1653,-0.084083,0,-0.084083,28.318,0,0,0,6.4968,6,8.9236,0
0.0048987,0.027828,0,-0.00086608,-1.0931e-05,0,-1.0931e-05,0.0028368,0,0,0,0,-0.1653,-0.084083,0,-0.084083,28.318,0,0,0,6.4968,6,8.8844,0
0.0050475,0.027715,0,-0.00087548,-8.922e-06,0,-8.922e-06,0.0028518,0,0,0,0,-0.21915,-0.068631,0,-0.068631,28.452,0,0,0,6.5153,6,8.8444,0
0.0052019,0.027599,0,-0.00087548,-8.922e-06,0,-8.922e-06,0.0028518,0,0,0,0,-0.21915,-0.068631,0,-0.068631,28.452,0,0,0,6.5153,6,8.8036,0
0.0053625,0.027481,0,-0.00087694,-1.6537e-05,0,-1.6537e-05,0.002856,0,0,0,0,-0.22131,-0.12721,0,-0.12721,28.494,0,0,0,6.5244,6,8.7621,0
0.0055297,0.027361,0,-0.00087505,-1.8696e-05,0,-1.8696e-05,0.0028501,0,0,0,0,-0.22002,-0.14382,0,-0.14382,28.435,0,0,0,6.5112,6,8.7198,0
0.0057038,0.027238,0,-0.00087505,-1.8696e-05,0,-1.8696e-05,0.0028501,0,0,0,0,-0.22002,-0.14382,0,-0.14382,28.435,0,0,0,6.5112,6,8.6766,0
0.0058848,0.027114,0,-0.0008724,-2.0422e-05,0,-2.0422e-05,0.0028414,0,0,0,0,-0.2196,-0.1571,0,-0.1571,28.348,0,0,0,6.4911,6,8.6327,0
0.0060729,0.026988,0,-0.00084419,-2.0798e-05,0,-2.0798e-05,0.002758,0,0,0,0,-0.18435,-0.15998,0,-0.15998,27.525,0,0,0,6.3094,6,8.5879,0
0.0062681,0.02686,0,-0.00086543,-2.1507e-05,0,-2.1507e-05,0.002819,0,0,0,0,-0.2169,-0.16544,0,-0.16544,28.125,0,0,0,6.4403,6,8.5423,0
0.0064706,0.02673,0,-0.00083854,-2.1454e-05,0,-2.1454e-05,0.0027383,0,0,0,0,-0.18724,-0.16503,0,-0.16503,27.327,0,0,0,6.2631,6,8.4958,0
0.0066804,0.026598,0,-0.00085797,-2.2071e-05,0,-2.2071e-05,0.002795,0,0,0,0,-0.21395,-0.16977,0,-0.16977,27.886,0,0,0,6.3858,6,8.4485,0
0.0068975,0.026465,0,-0.00083273,-2.1864e-05,0,-2.1864e-05,0.0027187,0,0,0,0,-0.18824,-0.16819,0,-0.16819,27.13,0,0,0,6.2174,6,8.4002,0
0.0071222,0.026329,0,-0.00085077,-2.2425e-05,0,-2.2425e-05,0.0027713,0,0,0,0,-0.2128,-0.1725,0,-0.1725,27.65,0,0,0,6.3316,6,8.3511,0
-0.022863,0.042163,0,0.012909,-0.00049443,0,-0.00049443,-0.0038725,0,0,0,0,129.09,-3.8033,0,-3.8033,0.0022527,0,0,0,29.79,2.9618,12,0
-0.023354,0.043063,0,0.0121,-0.00044088,0,-0.00044088,-0.0036154,0,0,0,0,121.05,-3.3914,0,-3.3914,0.16019,0,0,0,27.971,2.9222,12,0
-0.023858,0.044024,0,0.012576,-0.00045027,0,-0.00045027,-0.0038103,0,0,0,0,125.63,-3.4636,0,-3.4636,-0.41353,0,0,0,28.897,2.881,12,0
-0.024372,0.045049,0,0.012301,-0.00045111,0,-0.00045111,-0.0037157,0,0,0,0,122.93,-3.4701,0,-3.4701,-0.2784,0,0,0,28.304,2.8383,12,0
-0.024901,0.046144,0,0.012301,-0.00045111,0,-0.00045111,-0.0037157,0,0,0,0,122.93,-3.4701,0,-3.4701,-0.2784,0,0,0,28.304,2.794,12,0
-0.025443,0.04731,0,0.012144,-0.00047421,0,-0.00047421,-0.0037088,0,0,0,0,121.23,-3.6477,0,-3.6477,-0.71994,0,0,0,27.809,2.7479,12,0
-0.025995,0.048553,0,0.011262,-0.00047769,0,-0.00047769,-0.0033733,0,0,0,0,112.64,-3.6745,0,-3.6745,0.057564,0,0,0,26.006,2.7001,12,0
-0.026563,0.049878,0,0.011854,-0.00046918,0,-0.00046918,-0.0035692,0,0,0,0,118.5,-3.6091,0,-3.6091,-0.14341,0,0,0,27.312,2.6505,12,0
-0.027146,0.051291,0,0.011087,-0.00045695,0,-0.00045695,-0.0033131,0,0,0,0,110.92,-3.515,0,-3.515,0.14485,0,0,0,25.63,2.599,12,0
-0.027744,0.052797,0,0.011617,-0.00048015,0,-0.00048015,-0.0035292,0,0,0,0,116.02,-3.6935,0,-3.6935,-0.48414,0,0,0,26.663,2.5455,12,0
-0.028353,0.054398,0,0.010727,-0.00045521,0,-0.00045521,-0.0032365,0,0,0,0,107.2,-3.5016,0,-3.5016,-0.20321,0,0,0,24.693,2.49,12,0
-0.028976,0.056102,0,0.011291,-0.0005127,0,-0.0005127,-0.0034119,0,0,0,0,112.83,-3.9438,0,-3.9438,-0.2711,0,0,0,25.975,2.4323,12,0
-0.029615,0.057915,0,0.010495,-0.00045902,0,-0.00045902,-0.0031324,0,0,0,0,105.01,-3.5309,0,-3.5309,0.17796,0,0,0,24.274,2.3724,12,0
-0.030269,0.059843,0,0.011042,-0.00051699,0,-0.00051699,-0.0033413,0,0,0,0,110.32,-3.9768,0,-3.9768,-0.31647,0,0,0,25.386,2.3103,12,0
-0.030935,0.061891,0,0.01016,-0.00048193,0,-0.00048193,-0.0030593,0,0,0,0,101.56,-3.7071,0,-3.7071,-0.1258,0,0,0,23.407,2.2458,12,0
-0.031613,0.064065,0,0.0099851,-0.0005416,0,-0.0005416,-0.0030081,0,0,0,0,99.81,-4.1661,0,-4.1661,-0.13775,0,0,0,23.001,2.1788,12,0
0.0043511,0.028264,0,-0.00089201,-4.9743e-05,0,-4.9743e-05,0.0029199,0,0,0,0,-0.17615,-0.38264,0,-0.38264,29.146,0,0,0,6.6854,5.9999,9.0375,0
0.0042265,0.028372,0,-0.00089201,-4.9743e-05,0,-4.9743e-05,0.0029199,0,0,0,0,-0.17615,-0.38264,0,-0.38264,29.146,0,0,0,6.6854,5.9995,9.0749,0
0.0041073,0.028479,0,-0.00086706,-7.9056e-05,0,-7.9056e-05,0.0028752,0,0,0,0,-0.049467,-0.60812,0,-0.60812,28.737,0,0,0,6.6202,5.9989,9.1124,0
0.003993,0.028583,0,-0.00086706,-7.9056e-05,0,-7.9056e-05,0.0028752,0,0,0,0,-0.049467,-0.60812,0,-0.60812,28.737,0,0,0,6.6202,5.9981,9.1498,0
0.0038828,0.028686,0,-0.00084503,-0.00012692,0,-0.00012692,0.0028134,0,0,0,0,-0.011307,-0.97631,0,-0.97631,28.13,0,0,0,6.489,5.997,9.1873,0
0.0037764,0.028788,0,-0.00084503,-0.00012692,0,-0.00012692,0.0028134,0,0,0,0,-0.011307,-0.97631,0,-0.97631,28.13,0,0,0,6.489,5.9956,9.2247,0
0.0036738,0.028888,0,-0.00082501,-0.00017407,0,-0.00017407,0.0027537,0,0,0,0,0.011912,-1.339,0,-1.339,27.54,0,0,0,6.3582,5.994,9.2621,0
0.0035747,0.028986,0,-0.00082501,-0.00017407,0,-0.00017407,0.0027537,0,0,0,0,0.011912,-1.339,0,-1.339,27.54,0,0,0,6.3582,5.9921,9.2995,0
0.0034791,0.029083,0,-0.00080212,-0.00021768,0,-0.00021768,0.0026876,0,0,0,0,0.045672,-1.6745,0,-1.6745,26.889,0,0,0,6.2158,5.99,9.3369,0
0.0033869,0.029178,0,-0.00080212,-0.00021768,0,-0.00021768,0.0026876,0,0,0,0,0.045672,-1.6745,0,-1.6745,26.889,0,0,0,6.2158,5.9875,9.3743,0
0.0032983,0.029272,0,-0.00077481,-0.00025856,0,-0.00025856,0.0026093,0,0,0,0,0.087629,-1.9889,0,-1.9889,26.119,0,0,0,6.0477,5.9848,9.4117,0
0.003213,0.029363,0,-0.00075999,-0.00027802,0,-0.00027802,0.002566,0,0,0,0,0.10778,-2.1386,0,-2.1386,25.692,0,0,0,5.9539,5.9818,9.449,0
0.0031311,0.029453,0,-0.00074347,-0.00029758,0,-0.00029758,0.0025196,0,0,0,0,0.13635,-2.2891,0,-2.2891,25.237,0,0,0,5.8554,5.9785,9.4863,0
0.0030525,0.029541,0,-0.00074347,-0.00029758,0,-0.00029758,0.0025196,0,0,0,0,0.13635,-2.2891,0,-2.2891,25.237,0,0,0,5.8554,5.9749,9.5236,0
0.002977,0.029627,0,-0.00072439,-0.00031469,0,-0.00031469,0.0024648,0,0,0,0,0.16537,-2.4207,0,-2.4207,24.698,0,0,0,5.7376,5.971,9.5609,0
