"Displacement Vector:0","Displacement Vector:1","Displacement Vector:2","Strain:0","Strain:1","Strain:2","Strain:3","Strain:4","Strain:5","Strain:6","Strain:7","Strain:8","Stress:0","Stress:1","Stress:2","Stress:3","Stress:4","Stress:5","Stress:6","Stress:7","Stress:8","Points:0","Points:1","Points:2"
-0.03308,0.058252,0,0.011823,-0.00073698,0,-0.00073698,-0.0035873,0,0,0,0,118.1,-5.6691,0,-5.6691,-0.4435,0,0,0,27.151,3,12,0
-4.2337e-06,0.032245,0,-0.00077118,-2.673e-05,0,-2.673e-05,0.0024853,0,0,0,0,-0.2812,-0.20562,0,-0.20562,24.769,0,0,0,5.651,6,9,0
-0.00011617,0.032203,0,-0.00077712,-0.00012185,0,-0.00012185,0.0026607,0,0,0,0,0.23182,-0.93734,0,-0.93734,26.677,0,0,0,6.2097,6.15,9,0
-0.00013306,0.032203,0,-0.00077755,0.00012211,0,0.00012211,0.0026636,0,0,0,0,0.23648,0.93931,0,0.93931,26.707,0,0,0,6.2176,6.175,9,0
-0.00024502,0.032235,0,-0.00077187,2.687e-05,0,2.687e-05,0.0024869,0,0,0,0,-0.28364,0.20669,0,0.20669,24.783,0,0,0,5.6538,6.325,9,0
0.03298,0.058118,0,0.01181,0.00073453,0,0.00073453,-0.0035824,0,0,0,0,117.97,5.6502,0,5.6502,-0.4316,0,0,0,27.125,9.325,12,0
-0.02419,0.057298,0,0.0070282,-0.00082945,0,-0.00082945,-0.002001,0,0,0,0,70.636,-6.3803,0,-6.3803,1.1806,0,0,0,16.573,3,12.3,0
0.0241,0.057166,0,0.0069598,0.00079224,0,0.00079224,-0.0019709,0,0,0,0,69.984,6.0942,0,6.0942,1.2857,0,0,0,16.447,9.325,12.3,0
-1.1092e-05,0.032055,0,-0.00077118,-2.673e-05,0,-2.673e-05,0.0024853,0,0,0,0,-0.2812,-0.20562,0,-0.20562,24.769,0,0,0,5.651,6,8.9236,0
-1.3254e-05,0.031863,0,-0.00072834,-1.5421e-05,0,-1.5421e-05,0.0023928,0,0,0,0,-0.11555,-0.11862,0,-0.11862,23.893,0,0,0,5.4871,6,8.8444,0
-1.4611e-05,0.031666,0,-0.00072834,-1.5421e-05,0,-1.5421e-05,0.0023928,0,0,0,0,-0.11555,-0.11862,0,-0.11862,23.893,0,0,0,5.4871,6,8.7621,0
