"Displacement Vector:0","Displacement Vector:1","Displacement Vector:2","Strain:0","Strain:1","Strain:2","Strain:3","Strain:4","Strain:5","Strain:6","Strain:7","Strain:8","Stress:0","Stress:1","Stress:2","Stress:3","Stress:4","Stress:5","Stress:6","Stress:7","Stress:8","Points:0","Points:1","Points:2"
-0.020856,0.082015,0,0.014937,-0.0016314,0,-0.0016314,-0.0046138,0,0,0,0,148.94,-12.55,0,-12.55,-1.4575,0,0,0,34.033,3,12,0
-0.00017571,0.029544,0,-0.00072701,-1.2138e-05,0,-1.2138e-05,0.0023861,0,0,0,0,-0.12305,-0.093368,0,-0.093368,23.824,0,0,0,5.4694,6,9,0
-0.00028371,0.029538,0,-0.00070736,-1.143e-05,0,-1.143e-05,0.0023452,0,0,0,0,-0.041663,-0.087921,0,-0.087921,23.44,0,0,0,5.3995,6.15,9,0
-0.00030143,0.029537,0,-0.00070711,1.1291e-05,0,1.1291e-05,0.0023443,0,0,0,0,-0.041952,0.086853,0,0.086853,23.43,0,0,0,5.3973,6.175,9,0
-0.00040937,0.029535,0,-0.00072618,1.2233e-05,0,1.2233e-05,0.0023834,0,0,0,0,-0.12277,0.094103,0,0.094103,23.797,0,0,0,5.4632,6.325,9,0
0.020474,0.081796,0,0.01493,0.0016282,0,0.0016282,-0.0046108,0,0,0,0,148.86,12.524,0,12.524,-1.4483,0,0,0,34.019,9.325,12,0
-0.0022288,0.080688,0,0.0021051,-0.00061039,0,-0.00061039,-0.00059777,0,0,0,0,21.162,-4.6953,0,-4.6953,0.37098,0,0,0,4.9692,3,12.3,0
0.001869,0.080471,0,0.0020736,0.00058284,0,0.00058284,-0.00058307,0,0,0,0,20.864,4.4834,0,4.4834,0.42859,0,0,0,4.9137,9.325,12.3,0
-0.00017686,0.029362,0,-0.00072701,-1.2138e-05,0,-1.2138e-05,0.0023861,0,0,0,0,-0.12305,-0.093368,0,-0.093368,23.824,0,0,0,5.4694,6,8.9236,0
-0.0001784,0.029174,0,-0.00072899,-1.0471e-06,0,-1.0471e-06,0.0023723,0,0,0,0,-0.19005,-0.008055,0,-0.008055,23.666,0,0,0,5.4176,6,8.8444,0
-0.00018029,0.028979,0,-0.00072899,-1.0471e-06,0,-1.0471e-06,0.0023723,0,0,0,0,-0.19005,-0.008055,0,-0.008055,23.666,0,0,0,5.4176,6,8.7621,0
-0.00018235,0.028777,0,-0.00072973,9.9144e-08,0,9.9144e-08,0.0023717,0,0,0,0,-0.20011,0.00076264,0,0.00076264,23.657,0,0,0,5.4132,6,8.6766,0
-0.0001845,0.028567,0,-0.00072978,9.1383e-08,0,9.1383e-08,0.0023718,0,0,0,0,-0.20052,0.00070295,0,0.00070295,23.658,0,0,0,5.4132,6,8.5879,0
-0.0001867,0.028349,0,-0.00072979,6.7185e-08,0,6.7185e-08,0.0023718,0,0,0,0,-0.20053,0.00051681,0,0.00051681,23.658,0,0,0,5.4132,6,8.4958,0
-0.00018892,0.028122,0,-0.00072978,5.2651e-08,0,5.2651e-08,0.0023718,0,0,0,0,-0.20052,0.00040501,0,0.00040501,23.657,0,0,0,5.4131,6,8.4002,0
-0.021742,0.086964,0,0.013339,-0.0013738,0,-0.0013738,-0.0039213,0,0,0,0,133.65,-10.568,0,-10.568,0.88206,0,0,0,31.046,2.9243,12,0
